LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_4.keys,key_resp_5.keys,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,text_3.started,trial_3.stopped,loop_6.key_resp_4.keys,trial_4.started,trial_4.stopped,loop_6.key_resp_5.keys,image_5.stopped,image_6.stopped,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,text_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,text_4.stopped,polygon_3.stopped,key_resp_4.stopped,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19758240005467087,0.19851200003176928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1.4546381999971345,,,,0.2084912999998778,0.2088653000537306,0.4281471000285819,1.4546381999971345,1.4546381999971345,1.4546381999971345,1.4546381999971345,1.4546381999971345,1.4574638999765739,None,1.4577053999528289,1.4577573999995366,None,,,,,,,,,,,,,,,,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1.4711304999655113,,,,,,1.458056499948725,,,,,,1.4581003000494093,None,1.4582773000001907,1.4583172999555245,None,,,,,,,,,,,,,,,,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1.4711304999655113,,,,,,1.4585904000559822,1.4711304999655113,1.4711304999655113,1.4711304999655113,1.4711304999655113,1.4711304999655113,1.7085345999803394,None,1.7087917999597266,2.00785499997437,None,1.7206081000622362,1.7206081000622362,1.7206081000622362,1.7206081000622362,1.7206081000622362,1.7206081000622362,1.7206081000622362,1.9704950000159442,1.9704950000159442,2.0207341000204906,2.0207341000204906,2.0207341000204906,,,,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,3,3,3,2.0207341000204906,,,,,,2.00819149997551,2.0207341000204906,2.0207341000204906,2.0207341000204906,2.0207341000204906,2.0207341000204906,2.3089770999504253,None,2.3092201000545174,2.607786100008525,None,2.2705820000264794,2.2705820000264794,2.320488200057298,2.320488200057298,2.320488200057298,2.320488200057298,2.320488200057298,2.5706470999866724,2.5706470999866724,2.6205446999520063,2.6205446999520063,2.6205446999520063,2.320488200057298,2.320488200057298,2.320488200057298,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,4,4,4,2.6205446999520063,,,,,,2.6081211999990046,2.6205446999520063,2.6205446999520063,2.6205446999520063,2.6205446999520063,2.6205446999520063,2.9082754000555724,None,2.9085303000174463,3.2078168999869376,None,2.870454299962148,2.870454299962148,2.920575700001791,2.920575700001791,2.920575700001791,2.920575700001791,2.920575700001791,3.1706871000351384,3.1706871000351384,3.2206578999757767,3.2206578999757767,3.2206578999757767,2.920575700001791,2.920575700001791,2.920575700001791,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,5,5,5,3.2206578999757767,,,,,,3.2081623000558466,3.2206578999757767,3.2206578999757767,3.2206578999757767,3.2206578999757767,3.2206578999757767,3.5080936000449583,None,3.5083401000592858,3.8079581999918446,None,3.470526000019163,3.470526000019163,3.520577699993737,3.520577699993737,3.520577699993737,3.520577699993737,3.520577699993737,3.770727499970235,3.770727499970235,3.82047350006178,3.82047350006178,3.82047350006178,3.520577699993737,3.520577699993737,3.520577699993737,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,6,6,6,3.82047350006178,,,,,,3.8082953999983147,3.82047350006178,3.82047350006178,3.82047350006178,3.82047350006178,3.82047350006178,4.108111000037752,None,4.10837170004379,4.408054300001822,None,4.0706044000107795,4.0706044000107795,4.120480800047517,4.120480800047517,4.120480800047517,4.120480800047517,4.120480800047517,4.370732299983501,4.370732299983501,4.420613800059073,4.420613800059073,4.420613800059073,4.120480800047517,4.120480800047517,4.120480800047517,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,7,7,7,4.420613800059073,,,,,,4.408417199971154,4.420613800059073,4.420613800059073,4.420613800059073,4.420613800059073,4.420613800059073,4.708432900020853,None,4.708689599996433,5.007908200030215,None,4.670474200043827,4.670474200043827,4.720512600033544,4.720512600033544,4.720512600033544,4.720512600033544,4.720512600033544,4.970626899972558,4.970626899972558,5.020457400009036,5.020457400009036,5.020457400009036,4.720512600033544,4.720512600033544,4.720512600033544,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
Estimulo_6,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,None,None,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,8,8,8,5.020457400009036,,,,,,5.008230400038883,5.020457400009036,5.020457400009036,5.020457400009036,5.020457400009036,5.020457400009036,5.308027800056152,None,5.308282700018026,5.608138900017366,None,5.27060279995203,5.27060279995203,5.320516300038435,5.320516300038435,5.320516300038435,5.320516300038435,5.320516300038435,5.570507199969143,5.570507199969143,5.620527800056152,5.620527800056152,5.620527800056152,5.320516300038435,5.320516300038435,5.320516300038435,312207,001,2025-04-09_17h44.55.401,Estimulo_ICE,2024.2.4,60.29839265169467,2025-04-09 17h45.34.479500 -0300,
